Timestamp,Ambiente,Cliente,Versión,Sección,Descripción,Usuarios concurrentes,Corridas,Muestras,P95 (ms),P50 (ms),Stdev (ms),Delta vs 1 usuario (%)
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Seleccionar la cuenta Pellegrini (Fondo de Garantia),1,4,4,1440.5,1104.0,186.38,
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Seleccionar la cuenta Pellegrini (Fondo de Garantia),2,3,6,4588.75,1582.5,1481.89,-218.55
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Seleccionar todas las cuentas del depositario Banco Nación,1,4,4,1179.9,949.5,120.48,
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Seleccionar todas las cuentas del depositario Banco Nación,2,3,6,4491.5,1422.0,1455.67,-280.67
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Seleccionar todas las cuentas del depositario ICBC,1,4,4,2610.0,1840.0,412.94,
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Seleccionar todas las cuentas del depositario ICBC,2,3,6,5625.75,2273.5,1569.59,-115.55
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Seleccionar todas las cuentas del depositario Nación Bursátil,1,4,4,1192.4,1142.5,75.71,
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Seleccionar todas las cuentas del depositario Nación Bursátil,2,3,6,3969.0,1815.0,1150.7,-232.86
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Seleccionar todas las cuentas del depositario Pellegrini,1,4,4,1358.3,1077.0,168.61,
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Seleccionar todas las cuentas del depositario Pellegrini,2,3,6,1478.75,1160.5,178.96,-8.87
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Seleccionar todas las cuentas disponibles,1,4,4,2671.25,2181.0,304.95,
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Seleccionar todas las cuentas disponibles,2,3,6,5101.25,2848.5,1143.12,-90.97
